meterpreter > app_list
Application List
================

  Name                                              Package                                       Running  IsSystem
  com.fyian.TheThrillOfTheFight                     com.fyian.TheThrillOfTheFight                 false    false
  com.oculus.backuptransportservice                 com.oculus.backuptransportservice             false    true
  com.oculus.bodyapiservice                         com.oculus.bodyapiservice                     false    true
  com.oculus.deviceauthserver                       com.oculus.deviceauthserver                   false    true
  com.oculus.environment.prod.adobe                 com.oculus.environment.prod.adobe             false    false
  com.oculus.environment.prod.bubbles               com.oculus.environment.prod.bubbles           false    true
  com.oculus.environment.prod.cyberhome             com.oculus.environment.prod.cyberhome         false    false
  com.oculus.environment.prod.dome                  com.oculus.environment.prod.dome              false    false
  com.oculus.environment.prod.japan                 com.oculus.environment.prod.japan             false    false
  com.oculus.environment.prod.personaloffice01      com.oculus.environment.prod.personaloffice01  false    false
  com.oculus.environment.prod.rifthome              com.oculus.environment.prod.rifthome          false    false
  com.oculus.environment.prod.spacestation          com.oculus.environment.prod.spacestation      false    false
  com.oculus.environment.prod.winterlodge           com.oculus.environment.prod.winterlodge       false    false
  com.oculus.firsttimenuxresources                  com.oculus.firsttimenuxresources              false    true
  com.oculus.gatekeeperservice                      com.oculus.gatekeeperservice                  false    true
  com.oculus.guardian                               com.oculus.guardian                           false    true
  com.oculus.guardianresources                      com.oculus.guardianresources                  false    true
  com.oculus.handsnuxresources                      com.oculus.handsnuxresources                  false    true
  com.oculus.identitymanagement.service             com.oculus.identitymanagement.service         false    true
  com.oculus.mrservice                              com.oculus.mrservice                          false    true
  com.oculus.notification_proxy.NotificationProxyA  com.oculus.notification_proxy                 false    true
  pplication
  com.oculus.nux.ota                                com.oculus.nux.ota                            false    true
  com.oculus.os.clearactivity                       com.oculus.os.clearactivity                   false    true
  com.oculus.os.logcollector                        com.oculus.os.logcollector                    false    true
  com.oculus.os.vrlockscreen                        com.oculus.os.vrlockscreen                    false    true
  com.oculus.presence.PresenceApplication           com.oculus.presence                           false    true
  com.oculus.qplservice                             com.oculus.qplservice                         false    true
  com.oculus.yadi.YADI                              com.oculus.yadi                               false    true
  com.qualcomm.timeservice                          com.qualcomm.timeservice                      false    true
  oculus.platform                                   oculus.platform                               false    true

